country_name,sex,age_group,age_categories,year,unemployment_rate
Bangladesh,Female,Under 15 (Children),Children,2015,7.363
Bangladesh,Male,Under 15 (Children),Children,2015,3.125
Barbados,Female,Under 15 (Children),Children,2015,8.974
Barbados,Male,Under 15 (Children),Children,2015,10.635
Belarus,Female,Under 15 (Children),Children,2015,4.261
Belarus,Male,Under 15 (Children),Children,2015,7.504
Belgium,Female,Under 15 (Children),Children,2015,7.769
Belgium,Male,Under 15 (Children),Children,2015,9.089
Belize,Female,Under 15 (Children),Children,2015,11.09
Belize,Male,Under 15 (Children),Children,2015,5.45
Benin,Female,Under 15 (Children),Children,2015,2.062
Benin,Male,Under 15 (Children),Children,2015,1.587
Bhutan,Female,Under 15 (Children),Children,2015,3.26
Bhutan,Male,Under 15 (Children),Children,2015,1.904
Bolivia,Female,Under 15 (Children),Children,2015,3.807
Bolivia,Male,Under 15 (Children),Children,2015,2.632
Bosnia and Herzegovina,Female,Under 15 (Children),Children,2015,30.665
Bosnia and Herzegovina,Male,Under 15 (Children),Children,2015,25.759
Botswana,Female,Under 15 (Children),Children,2015,21.524
Botswana,Male,Under 15 (Children),Children,2015,16.565
Brazil,Female,Under 15 (Children),Children,2015,10.306
Brazil,Male,Under 15 (Children),Children,2015,7.231
Brunei Darussalam,Female,Under 15 (Children),Children,2015,8.57
Brunei Darussalam,Male,Under 15 (Children),Children,2015,7.033
Bulgaria,Female,Under 15 (Children),Children,2015,8.416
Bulgaria,Male,Under 15 (Children),Children,2015,9.775
Burkina Faso,Female,Under 15 (Children),Children,2015,4.637
Burkina Faso,Male,Under 15 (Children),Children,2015,4.435
Burundi,Female,Under 15 (Children),Children,2015,1.146
Burundi,Male,Under 15 (Children),Children,2015,1.913
Cabo Verde,Female,Under 15 (Children),Children,2015,12.371
Cabo Verde,Male,Under 15 (Children),Children,2015,11.63
Cambodia,Female,Under 15 (Children),Children,2015,0.459
Cambodia,Male,Under 15 (Children),Children,2015,0.329
Cameroon,Female,Under 15 (Children),Children,2015,4.021
Cameroon,Male,Under 15 (Children),Children,2015,3.051
Canada,Female,Under 15 (Children),Children,2015,6.315
Canada,Male,Under 15 (Children),Children,2015,7.516
Central African Republic,Female,Under 15 (Children),Children,2015,6.914
Central African Republic,Male,Under 15 (Children),Children,2015,5.281
Chad,Female,Under 15 (Children),Children,2015,0.621
Chad,Male,Under 15 (Children),Children,2015,1.148
Channel Islands,Female,Under 15 (Children),Children,2015,8.189
Channel Islands,Male,Under 15 (Children),Children,2015,7.803
Chile,Female,Under 15 (Children),Children,2015,7.127
Chile,Male,Under 15 (Children),Children,2015,6.047
China,Female,Under 15 (Children),Children,2015,4.036
China,Male,Under 15 (Children),Children,2015,5.146
Colombia,Female,Under 15 (Children),Children,2015,11.118
Colombia,Male,Under 15 (Children),Children,2015,6.713
Comoros,Female,Under 15 (Children),Children,2015,5.452
Comoros,Male,Under 15 (Children),Children,2015,4.517
"Congo, Rep.",Female,Under 15 (Children),Children,2015,21.577
"Congo, Rep.",Male,Under 15 (Children),Children,2015,19.001
"Congo, Dem. Rep.",Female,Under 15 (Children),Children,2015,3.569
"Congo, Dem. Rep.",Male,Under 15 (Children),Children,2015,5.237
Costa Rica,Female,Under 15 (Children),Children,2015,10.375
Costa Rica,Male,Under 15 (Children),Children,2015,7.127
Croatia,Female,Under 15 (Children),Children,2015,16.905
Croatia,Male,Under 15 (Children),Children,2015,15.555
Cuba,Female,Under 15 (Children),Children,2015,2.584
Cuba,Male,Under 15 (Children),Children,2015,2.286
Cyprus,Female,Under 15 (Children),Children,2015,14.89
Cyprus,Male,Under 15 (Children),Children,2015,15.15
Czechia,Female,Under 15 (Children),Children,2015,6.083
Czechia,Male,Under 15 (Children),Children,2015,4.232
Cote d'Ivoire,Female,Under 15 (Children),Children,2015,3.128
Cote d'Ivoire,Male,Under 15 (Children),Children,2015,2.116
Denmark,Female,Under 15 (Children),Children,2015,6.53
Denmark,Male,Under 15 (Children),Children,2015,6.06
Djibouti,Female,Under 15 (Children),Children,2015,36.106
Djibouti,Male,Under 15 (Children),Children,2015,22.198
Dominican Republic,Female,Under 15 (Children),Children,2015,10.956
Dominican Republic,Male,Under 15 (Children),Children,2015,5.508
Ecuador,Female,Under 15 (Children),Children,2015,4.521
Ecuador,Male,Under 15 (Children),Children,2015,3.024
"Egypt, Arab Rep.",Female,Under 15 (Children),Children,2015,24.711
"Egypt, Arab Rep.",Male,Under 15 (Children),Children,2015,9.352
El Salvador,Female,Under 15 (Children),Children,2015,3.471
El Salvador,Male,Under 15 (Children),Children,2015,4.371
Equatorial Guinea,Female,Under 15 (Children),Children,2015,9.295
Equatorial Guinea,Male,Under 15 (Children),Children,2015,7.374
Estonia,Female,Under 15 (Children),Children,2015,6.133
Estonia,Male,Under 15 (Children),Children,2015,6.244
Eswatini,Female,Under 15 (Children),Children,2015,25.195
Eswatini,Male,Under 15 (Children),Children,2015,21.56
Ethiopia,Female,Under 15 (Children),Children,2015,3.19
Ethiopia,Male,Under 15 (Children),Children,2015,1.742
Fiji,Female,Under 15 (Children),Children,2015,5.3
Fiji,Male,Under 15 (Children),Children,2015,3.773
Finland,Female,Under 15 (Children),Children,2015,8.842
Finland,Male,Under 15 (Children),Children,2015,9.882
France,Female,Under 15 (Children),Children,2015,9.878
France,Male,Under 15 (Children),Children,2015,10.788
French Polynesia,Female,Under 15 (Children),Children,2015,12.55
French Polynesia,Male,Under 15 (Children),Children,2015,10.782
Gabon,Female,Under 15 (Children),Children,2015,28.225
Gabon,Male,Under 15 (Children),Children,2015,14.251
"Gambia, The",Female,Under 15 (Children),Children,2015,8.251
