country_name,sex,age_group,age_categories,year,unemployment_rate
Guinea,Female,15-24 (Youth),Youth,2014,7.109
Guinea,Female,25+ (Adults),Adults,2014,4.151
Guinea,Female,Under 15 (Children),Children,2014,4.87
Guinea,Male,15-24 (Youth),Youth,2014,6.511
Guinea,Male,25+ (Adults),Adults,2014,5.215
Guinea,Male,Under 15 (Children),Children,2014,5.458
Guinea-Bissau,Female,15-24 (Youth),Youth,2014,4.283
Guinea-Bissau,Female,25+ (Adults),Adults,2014,2.46
Guinea-Bissau,Female,Under 15 (Children),Children,2014,2.848
Guinea-Bissau,Male,15-24 (Youth),Youth,2014,4.078
Guinea-Bissau,Male,25+ (Adults),Adults,2014,3.728
Guinea-Bissau,Male,Under 15 (Children),Children,2014,3.807
Guyana,Female,15-24 (Youth),Youth,2014,31.623
Guyana,Female,25+ (Adults),Adults,2014,9.717
Guyana,Female,Under 15 (Children),Children,2014,15.483
Guyana,Male,15-24 (Youth),Youth,2014,19.56
Guyana,Male,25+ (Adults),Adults,2014,8.553
Guyana,Male,Under 15 (Children),Children,2014,11.319
Haiti,Female,15-24 (Youth),Youth,2014,42.709
Haiti,Female,25+ (Adults),Adults,2014,11.692
Haiti,Female,Under 15 (Children),Children,2014,16.765
Haiti,Male,15-24 (Youth),Youth,2014,26.883
Haiti,Male,25+ (Adults),Adults,2014,7.765
Haiti,Male,Under 15 (Children),Children,2014,11.114
Honduras,Female,15-24 (Youth),Youth,2014,17.595
Honduras,Female,25+ (Adults),Adults,2014,6.842
Honduras,Female,Under 15 (Children),Children,2014,9.419
Honduras,Male,15-24 (Youth),Youth,2014,9.289
Honduras,Male,25+ (Adults),Adults,2014,4.355
Honduras,Male,Under 15 (Children),Children,2014,5.784
"Hong Kong SAR, China",Female,15-24 (Youth),Youth,2014,8.08
"Hong Kong SAR, China",Female,25+ (Adults),Adults,2014,2.519
"Hong Kong SAR, China",Female,Under 15 (Children),Children,2014,3.011
"Hong Kong SAR, China",Male,15-24 (Youth),Youth,2014,10.439
"Hong Kong SAR, China",Male,25+ (Adults),Adults,2014,2.976
"Hong Kong SAR, China",Male,Under 15 (Children),Children,2014,3.571
Hungary,Female,15-24 (Youth),Youth,2014,20.905
Hungary,Female,25+ (Adults),Adults,2014,6.924
Hungary,Female,Under 15 (Children),Children,2014,7.915
Hungary,Male,15-24 (Youth),Youth,2014,19.962
Hungary,Male,25+ (Adults),Adults,2014,6.493
Hungary,Male,Under 15 (Children),Children,2014,7.575
Iceland,Female,15-24 (Youth),Youth,2014,6.516
Iceland,Female,25+ (Adults),Adults,2014,4.379
Iceland,Female,Under 15 (Children),Children,2014,4.789
Iceland,Male,15-24 (Youth),Youth,2014,12.543
Iceland,Male,25+ (Adults),Adults,2014,3.353
Iceland,Male,Under 15 (Children),Children,2014,4.999
India,Female,15-24 (Youth),Youth,2014,21.32
India,Female,25+ (Adults),Adults,2014,5.581
India,Female,Under 15 (Children),Children,2014,8.106
India,Male,15-24 (Youth),Youth,2014,22.529
India,Male,25+ (Adults),Adults,2014,4.994
India,Male,Under 15 (Children),Children,2014,7.933
Indonesia,Female,15-24 (Youth),Youth,2014,16.53
Indonesia,Female,25+ (Adults),Adults,2014,1.453
Indonesia,Female,Under 15 (Children),Children,2014,3.882
Indonesia,Male,15-24 (Youth),Youth,2014,15.736
Indonesia,Male,25+ (Adults),Adults,2014,1.986
Indonesia,Male,Under 15 (Children),Children,2014,4.153
"Iran, Islamic Rep.",Female,15-24 (Youth),Youth,2014,43.209
"Iran, Islamic Rep.",Female,25+ (Adults),Adults,2014,15.838
"Iran, Islamic Rep.",Female,Under 15 (Children),Children,2014,19.858
"Iran, Islamic Rep.",Male,15-24 (Youth),Youth,2014,21.22
"Iran, Islamic Rep.",Male,25+ (Adults),Adults,2014,7.092
"Iran, Islamic Rep.",Male,Under 15 (Children),Children,2014,8.954
Iraq,Female,15-24 (Youth),Youth,2014,45.662
Iraq,Female,25+ (Adults),Adults,2014,17.175
Iraq,Female,Under 15 (Children),Children,2014,21.813
Iraq,Male,15-24 (Youth),Youth,2014,16.773
Iraq,Male,25+ (Adults),Adults,2014,5.46
Iraq,Male,Under 15 (Children),Children,2014,8.399
Ireland,Female,15-24 (Youth),Youth,2014,19.84
Ireland,Female,25+ (Adults),Adults,2014,9.609
Ireland,Female,Under 15 (Children),Children,2014,10.881
Ireland,Male,15-24 (Youth),Youth,2014,26.589
Ireland,Male,25+ (Adults),Adults,2014,10.823
